Player,Pos,Seasons,Indct,From,To,AP1,PB,St,G,Cmp,Patt,PYds,PTD,PLng,PInt,Sk,Ratt,Ryds,RTD,RLng,Rec,RcYds,RcTD,RcLng
Jack Youngblood\YounJa00,DE,13,2001,1971,1984,5,7,13,202,,,,,,,,,,,,,,,
Dan Hampton\HampDa01,DE,11,2002,1979,1990,1,4,11,157,,,,,,,,,,,,,,,
Elvin Bethea\BethEl00,DE,15,2003,1968,1983,0,8,14,210,,,,,,,,,,,,,,,
Carl Eller\ElleCa00,DE,15,2004,1964,1979,5,6,15,225,,,,,,,,,,,,,,,
Reggie White\WhitRe00,DE,15,2006,1985,2000,8,13,15,232,,,,,,,,,,,,,,,
Fred Dean\DeanFr00,DE,10,2008,1975,1985,2,4,6,141,,,,,,,,,,,,,,,
Bruce Smith\SmitBr00,DE,18,2009,1985,2003,8,11,18,279,,,,,,,,1,0,0,0,,,,
Richard Dent\DentRi00,DE,14,2011,1983,1997,1,4,10,203,,,,,,,,,,,,,,,
Chris Doleman\DoleCh00,DE,14,2012,1985,1999,2,8,13,232,,,,,,,,,,,,,,,
Michael Strahan\StraMi02,DE,14,2014,1993,2007,4,7,14,216,,,,,,,,,,,,,,,
Claude Humphrey\HumpCl00,DE,13,2014,1968,1981,2,6,10,171,,,,,,,,,,,,,,,
Charles Haley\HaleCh00,DE,13,2015,1986,1999,2,5,8,169,,,,,,,,,,,,,,,
Jason Taylor\TaylJa03,DE,14,2017,1997,2011,3,6,12,233,,,,,,,,,,,,0,0,0,0
Bill Willis\WillBi00,DG,7,1977,1946,1953,3,3,6,99,,,,,,,,,,,,,,,
Art Donovan\DonoAr00,DT,11,1968,1950,1961,4,5,12,138,,,,,,,,,,,,,,,
Ernie Stautner\StauEr00,DT,13,1969,1950,1963,1,9,13,173,,,,,,,,,,,,,,,
Leo Nomellini\NomeLe00,DT,13,1969,1950,1963,6,10,13,174,,,,,,,,1,5,0,5,,,,
Bob Lilly\LillBo00,DT,13,1980,1961,1974,7,11,14,196,,,,,,,,,,,,,,,
Merlin Olsen\OlseMe00,DT,14,1982,1962,1976,5,14,15,208,,,,,,,,,,,,,,,
Arnie Weinmeister\WeinAr00,DT,5,1984,1948,1953,5,4,6,71,,,,,,,,,,,,1,16,0,16
Joe Greene\GreeJo02,DT,12,1987,1969,1981,4,10,12,181,,,,,,,,,,,,,,,
Alan Page\PageAl00,DT,14,1988,1967,1981,6,9,15,218,,,,,,,,,,,,,,,
Buck Buchanan\BuchBu00,DT,12,1990,1963,1975,4,8,13,182,,,,,,,,,,,,,,,
